collect.....= UnicornPy_2020.05.30.0
device......= UN-2019.05.51
samplerate..= 250.000
channels....= 16
date........= 2020-06-24T11:05:15.097741
filename....= Raw\example626
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-103.176,-114.977,-99.599,-122.666,-69.827,-107.467,-119.716,-106.484,0.556,0.771,0.436,-0.610,1.678,0.671,73.333,169.000
-102.997,-114.977,-99.689,-122.666,-69.648,-107.646,-119.716,-106.573,0.557,0.771,0.434,-0.641,1.709,0.610,73.333,170.000
-102.729,-114.977,-99.421,-122.666,-69.380,-107.467,-119.805,-106.484,0.556,0.772,0.435,-0.610,1.617,0.580,73.333,171.000
-102.818,-114.888,-99.331,-122.666,-69.380,-107.646,-119.984,-106.215,0.554,0.770,0.434,-0.519,1.740,0.488,73.333,172.000
-102.997,-114.799,-99.421,-122.577,-69.648,-107.288,-120.074,-106.215,0.555,0.771,0.431,-0.397,1.770,0.458,73.333,173.000
-103.176,-114.709,-99.421,-122.666,-69.827,-107.199,-120.074,-106.305,0.555,0.770,0.432,-0.397,1.892,0.397,73.333,174.000
-102.907,-114.799,-99.331,-122.577,-69.827,-107.557,-119.984,-106.215,0.553,0.772,0.433,-0.458,1.923,0.458,73.333,175.000
-102.997,-114.977,-99.421,-122.666,-69.737,-107.646,-119.895,-106.305,0.553,0.773,0.436,-0.549,1.740,0.488,73.333,176.000
-102.907,-114.977,-99.599,-122.577,-69.648,-107.467,-119.895,-106.126,0.555,0.772,0.436,-0.732,1.678,0.519,73.333,177.000
-102.997,-114.799,-99.599,-122.666,-69.559,-107.378,-119.984,-106.126,0.555,0.772,0.434,-0.610,1.678,0.458,73.333,178.000
-102.907,-114.799,-99.242,-122.577,-69.737,-107.288,-119.984,-106.126,0.553,0.771,0.435,-0.671,1.770,0.610,73.333,179.000
-102.818,-114.799,-99.242,-122.398,-69.648,-107.378,-119.805,-106.394,0.554,0.770,0.434,-0.641,1.740,0.641,73.333,180.000
-102.550,-114.709,-99.331,-122.577,-69.469,-107.199,-119.895,-106.484,0.555,0.770,0.433,-0.580,1.678,0.671,73.333,181.000
-102.729,-114.977,-99.689,-122.577,-69.559,-107.378,-119.716,-106.215,0.555,0.770,0.436,-0.610,1.801,0.610,73.333,182.000
-102.997,-114.977,-99.510,-122.488,-69.737,-107.378,-119.805,-106.126,0.555,0.771,0.436,-0.610,1.678,0.580,73.333,183.000
-102.729,-114.799,-99.421,-122.577,-69.827,-107.378,-120.163,-106.037,0.558,0.771,0.438,-0.488,1.678,0.488,73.333,184.000
